episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
54,2015,551.5176391601562,1042.1636198989484,0.56186,941.0176391601562,3895.0,6611,,,,,
55,2015,534.2566528320312,1389.854680614311,0.550555,921.2566528320312,3870.0,6730,,,,,
56,2013,865.0496826171875,1151.3746718713792,0.539345,1216.0496826171875,3510.0,6848,,,,,
57,2014,432.69122314453125,1275.50529845687,0.52785,800.6912231445312,3680.0,6969,,,,,
58,2002,298.919677734375,1031.2536378060618,0.51607,649.419677734375,3505.0,7093,,,,,
59,2007,1085.7596435546875,1709.8743447548102,0.504575,1448.7596435546875,3630.0,7214,,,,,
60,2013,779.8902587890625,1115.7584877983998,0.49336500000000005,1166.8902587890625,3870.0,7332,,,,,
61,2010,511.88031005859375,1435.111665426207,0.48187,877.3803100585938,3655.0,7453,,,,,
62,2018,387.72515869140625,1519.9517345736103,0.47009,758.7251586914062,3710.0,7577,,,,,
63,2006,527.96435546875,1545.6640851380396,0.4585,888.96435546875,3610.0,7699,,,,,
64,2018,353.62164306640625,908.5222405464418,0.44672,746.6216430664062,3930.0,7823,,,,,
65,2003,205.02001953125,1022.7793941966822,0.43513,575.52001953125,3705.0,7945,,,,,
66,2004,823.81689453125,1073.409655774226,0.42354,1195.31689453125,3715.0,8067,,,,,
67,2005,147.7005615234375,1084.7477704017392,0.41176,550.2005615234375,4025.0,8191,,,,,
68,2010,488.9163818359375,1192.1141029231806,0.4002650000000001,876.9163818359375,3880.0,8312,,,,,
69,2005,88.03170776367188,1129.5342097128591,0.38848499999999997,506.5317077636719,4185.0,8436,,,,,
70,2001,95.47579956054688,1431.6897195785764,0.37651500000000004,476.9757995605469,3815.0,8562,,,,,
71,2004,966.928466796875,1236.304666362825,0.36492500000000005,1328.428466796875,3615.0,8684,,,,,
72,2011,355.17132568359375,1354.6741296132407,0.3535250000000001,751.6713256835938,3965.0,8804,,,,,
73,2008,203.49456787109375,1238.759812517864,0.34184000000000003,570.4945678710938,3670.0,8927,,,,,
74,2017,51.680328369140625,1205.460559906498,0.33006,430.6803283691406,3790.0,9051,,,,,
75,2005,139.07363891601562,1457.6252085778021,0.31828,501.0736389160156,3620.0,9175,242.76617431640625,7.641326904296875,1162.5,359.01617431640625,2.0
76,2005,130.60214233398438,1515.245900923206,0.3065,506.1021423339844,3755.0,9299,,,,,
